company_subfield,active_companies,investment_low_usd_m,investment_base_usd_m,investment_high_usd_m,top_regions,metric_caution_rows
Humanoids & robot foundation models,13,6857.3,10132.0,11070.0,China / Asia; US; EU / Europe,13
Industrial robotics & automation,10,3653.0,4692.0,5202.0,US; China / Asia; EU / Europe,10
"AI labs, biology & chemistry",9,2462.1,3551.3,4254.3,China / Asia; US; Other / mixed,9
Autonomous mobility & spatial AI,7,4293.0,6985.9,7596.0,China / Asia; EU / Europe; Other / mixed,7
Aerospace & defense autonomy,4,7207.0,12690.0,15875.0,US; China / Asia,4
Agriculture & food systems,4,838.8,958.8,1382.8,Latin America; Other / mixed,4
AI chips & edge infrastructure,2,746.0,770.0,3140.0,China / Asia,2
Warehouse & logistics robotics,1,400.0,539.5,540.0,Other / mixed,1
