strategic_region,active_companies,investment_low_usd_m,investment_base_usd_m,investment_high_usd_m,top_subfields,metric_caution_rows
US,16,13979.1,22818.0,27593.0,Industrial robotics & automation; Humanoids & robot foundation models; Aerospace & defense autonomy,16
EU / Europe,6,2845.0,4527.9,4528.0,Humanoids & robot foundation models; Autonomous mobility & spatial AI; Industrial robotics & automation,6
China / Asia,18,5465.8,8056.0,11484.0,"Humanoids & robot foundation models; AI labs, biology & chemistry; Industrial robotics & automation",18
Canada,3,1238.5,1618.0,1621.0,"Humanoids & robot foundation models; Autonomous mobility & spatial AI; AI labs, biology & chemistry",3
Latin America,3,758.8,878.8,878.8,Agriculture & food systems,3
Other / mixed,4,2170.0,2420.8,2955.3,"AI labs, biology & chemistry; Autonomous mobility & spatial AI; Warehouse & logistics robotics",4
